Algoritmo,Tamano,Shuffle,NodosGenerados,NodosExpandidos,FronteraMaxima,FactorRamificacion,LongitudSolucion,Tiempo_ms
RBFS,16,50,37,16,3,1.11906,14,0.04245
SMAStar,16,50,49,22,28,1.15358,14,0.159254
Greedy,16,100,559,266,294,1.057,62,2.98287
BFS,16,100,2882971,1500165,1382806,-1,-1,-1
AStar,16,100,426,200,227,1.19361,24,2.27347
IDAStar,16,100,454,216,23,1.19758,24,1.96885
BeamSearch,16,100,3959,1954,100,1.33294,24,21.2187
RBFS,16,100,399,185,4,1.18953,24,0.177259
SMAStar,16,100,588,282,307,1.21368,24,3.4505
Greedy,16,200,15178,7487,7692,1.01081,474,158.198
BFS,16,200,2208397,1146165,1062232,-1,-1,-1
AStar,16,200,2138154,1129231,999091,-1,-1,-1
IDAStar,16,200,8056979,4029611,43,-1,-1,-1
BeamSearch,16,200,9582,4754,100,1.14655,52,98.1154
RBFS,16,200,5000001,2515226,4,-1,-1,-1
SMAStar,16,200,104374,53693,50681,-1,-1,-1
Greedy,16,25,1966,930,1037,1.08296,63,3.19758
BFS,16,25,1154132,594587,559546,2.19306,17,4356.68
AStar,16,25,378,183,196,1.30163,17,0.627876
IDAStar,16,25,261,122,16,1.26686,17,0.342542
BeamSearch,16,25,2567,1254,100,1.48602,17,4.12158
RBFS,16,25,266,120,4,1.26864,17,0.059597
SMAStar,16,25,361,173,189,1.2973,17,0.678689
Greedy,16,50,2282,1088,1195,1.04886,98,6.51117
BFS,16,50,3708835,1932792,1776043,-1,-1,-1
AStar,16,50,254,131,124,1.20939,20,0.718573
IDAStar,16,50,225,123,19,1.19999,20,0.514905
BeamSearch,16,50,3074,1496,100,1.40395,20,8.65851
RBFS,16,50,247,127,3,1.20722,20,0.094858
SMAStar,16,50,270,138,133,1.21412,20,0.814241
Greedy,16,100,3151,1532,1620,1.02237,192,16.6591
BFS,16,100,3164682,1647021,1517661,-1,-1,-1
AStar,16,100,6283,3131,3128,1.27132,30,33.3763
IDAStar,16,100,19617,9466,29,1.3268,30,52.1361
BeamSearch,16,100,5892,2923,100,1.22863,34,31.138
RBFS,16,100,5934,2875,3,1.26856,30,0.900125
SMAStar,16,100,10162,5210,4953,1.29462,30,247.068
Greedy,16,200,9477,4732,4746,1.01611,314,97.2539
BFS,16,200,2282587,1183819,1098768,-1,-1,-1
AStar,16,200,912247,479657,429386,1.36348,40,11314.3
IDAStar,16,200,2231916,1084965,39,1.39652,40,7729.87
BeamSearch,16,200,12612,6123,100,1.11475,66,129.959
RBFS,16,200,2817446,1365807,3,1.40522,40,360.779
SMAStar,16,200,103652,52713,50939,-1,-1,-1
Greedy,16,25,13,6,8,1.30762,5,0.024425
BFS,16,25,149,69,81,2.45204,5,0.238572
